Component Name,Parent Component,Child Components,Purpose,Data Tables,Props/Inputs,Events/Outputs,Special Considerations
LineItemTable,DocumentRenderer,"LineItem, EditableCell",Displays line items with calculations,"document_components, sales_engine_items","items, editable, zoneId","onItemAdd, onItemRemove, onItemChange",Dynamic row generation with calculations
PhotoGallery,DocumentRenderer,"Photo, Carousel",Displays photos with navigation,"document_components, entity_photos, pulse_photos","photos, layout, captionEnabled","onPhotoClick, onPhotoDelete",Lazy loading for performance
PricingCalculator,DocumentRenderer,"PricingTable, DiscountSection",Calculates and displays pricing,"document_components, sales_engine_items","items, rates, discounts","onCalculate, onDiscountChange",Real-time calculation with tax handling
CustomerApprovalSection,DocumentRenderer,"SignatureField, DateField",Captures customer approval,document_components,"approvalType, signatories","onApprove, onReject",Legal compliance considerations
SignatureCapture,DocumentRenderer,"SignaturePad, SignatureActions",Digital signature functionality,document_components,"signatureType, signatoryInfo","onCapture, onClear",Supports both drawing and typed signatures
FormBuilder,"AppLayout, EntityPage","ComponentLibrary, FormCanvas, PropertyPanel",Main interface for form building,"form_definitions, form_components","formDefinitionId, entityTypeId","onSave, onPublish",Heavy component - use lazy loading
DragDropField,FormCanvas,"FieldHandle, FieldPreview",Draggable field for form building,form_components,"componentType, position, isSelected","onDrag, onDrop, onSelect",Uses React DnD for drag-drop
ComponentPalette,FormBuilder,"ComponentCard, SearchFilter",Library of available components,form_components,"components, categories, searchTerm","onComponentDrag, onSearch",Categorized display with search
PropertiesPanel,FormBuilder,"PropertyEditor, ValidationRules",Edits selected component properties,form_component_usage,"selectedComponent, properties","onPropertyChange, onRuleAdd",Dynamic UI based on component type
VersionControl,FormBuilder,"VersionSelector, HistoryView",Manages form versioning,"form_versions, form_definitions","formDefinitionId, currentVersion","onVersionCreate, onVersionSwitch",Handles publishing and versioning workflow
FormTemplateManager,AdminDashboard,"TemplateList, TemplateEditor",Manages form templates,form_definitions,"templates, categoryFilter","onTemplateCreate, onTemplateEdit",Access control integration
DocumentBuilder,"EstimatePage, ProposalPage","ComponentPalette, DocumentCanvas",Interface for document creation,"document_templates, document_components","templateId, documentType","onSave, onPublish",Complex layout engine
DocumentCanvas,DocumentBuilder,"DropZone, ComponentPreview",Layout area for document components,document_components,"layout, selectedComponent","onComponentDrop, onLayoutChange",Grid-based layout system
DataSourcePicker,DocumentBuilder,"EntitySelector, FieldPicker",Selects data sources for documents,data_source_references,"entityType, collectionId","onSourceSelect, onFieldSelect",Shows available sources based on context
DocumentPreview,DocumentBuilder,DocumentRenderer,Renders document preview,"documents, document_components","documentId, previewMode",onGeneratePDF,Print styling considerations
TemplateSelector,DocumentBuilder,"TemplateCard, SearchFilter",Selects document templates,document_templates,"documentType, searchTerm",onTemplateSelect,Thumbnails and preview
