Table Name,record type,record sub_type,purpose,included in beta,FK - On Creation,indexing stradegy,Constraints,On Delete Behavior,record creation trigger,table trigger creation,table trigger record,on creation,on delete,data migration notes,audit requirements
column_permissions,permissions,UI/API Access,Defines which columns are visible in UI or accessible via API for each role,yes,column_permissions_role_id_fkey: role_id → roles.id,"column_permissions_pkey, idx_column_perm_unique","CHECK (column_name IS NOT NULL), CHECK (id IS NOT NULL), CHECK (permission_type IS NOT NULL), CHECK (table_name IS NOT NULL), FOREIGN KEY (role_id) REFERENCES roles(id), PRIMARY KEY (id), NOT NULL (column_name), NOT NULL (permission_type), NOT NULL (table_name)",,permission configuration,,,permission cache update,cascade delete when role is deleted,,
communication_templates,communications,templates,"Stores reusable message templates for emails, SMS, and notifications that can incorporate dynamic data from the form system",no,communication_templates_created_by_fkey: created_by → users.id,communication_templates_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (template_type IS NOT NULL), FOREIGN KEY (created_by) REFERENCES users(id), PRIMARY KEY (id), NOT NULL (name), NOT NULL (template_type)",,UI created,,,activity log entry,soft delete - set is_active = false,,
contact_types,settings,settings,settings,no,null,contact_types_pkey,"CHECK (display_name IS NOT NULL), CHECK (id IS NOT NULL), PRIMARY KEY (id), NOT NULL (display_name)",,,,,,,,
contacts,parental entity,customer or affiliate data that can be used in a collection to build a sale or opportunity.,,,contacts_collection_id_fkey: collection_id → collections.id,contacts_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (collection_id) REFERENCES collections(id), PRIMARY KEY (id)",,,,,,,,
core_settings,settings,settings,settings,no,null,"core_settings_pkey, core_settings_setting_key_key","CHECK (id IS NOT NULL), CHECK (setting_key IS NOT NULL), PRIMARY KEY (id), UNIQUE (setting_key), NOT NULL (setting_key)",,,,,,,,
corporate,parental entity,,,,null,corporate_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (name), NOT NULL (updated_at)",,UI created,,,,,,
corporate_goals,tracking,goals,set goals like employee tenureship ,yes,corporate_goals_corporate_id_fkey: corporate_id → corporate.id,corporate_goals_pkey,"CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (id IS NOT NULL), CHECK (title IS NOT NULL), CHECK (updated_at IS NOT NULL), FOREIGN KEY (corporate_id) REFERENCES corporate(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (id), NOT NULL (title), NOT NULL (updated_at)",,UI created,,,,,,
corporate_owners,hierarchy,company management,system rule access,yes,corporate_owners_corporate_id_fkey: corporate_id → corporate.id,corporate_owners_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (updated_at IS NOT NULL), CHECK (user_id IS NOT NULL), FOREIGN KEY (corporate_id) REFERENCES corporate(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (updated_at), NOT NULL (user_id)",,,,,,,,
data_source_references,tracking,,"Tracks references to source data used in documents, allowing you to track where data in estimates and reports came from.",,null,"idx_data_sources_target, data_source_references_pkey, idx_data_sources_source","CHECK (id IS NOT NULL), CHECK (source_id IS NOT NULL), CHECK (source_type IS NOT NULL), CHECK (target_id IS NOT NULL), CHECK (target_type IS NOT NULL), PRIMARY KEY (id), NOT NULL (source_id), NOT NULL (source_type), NOT NULL (target_id), NOT NULL (target_type)",,,,,,,,
department_roles,organizational,assignments,write any role names that you would like,,null,department_roles_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
department_types,identification,organizational,suit your operations needs by assigning roles to a department as you grow,yes,null,department_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
department_views,view access,permissions,arranges role component access by department,yes,null,department_views_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
departments,organizational,hierarchical,"Represents organizational departments within companies, allowing for hierarchical structure.",yes,departments_organization_id_fkey: organization_id → organizations.id,departments_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), FOREIGN KEY (organization_id) REFERENCES organizations(id), PRIMARY KEY (id), NOT NULL (id), NOT NULL (name)",,,,,,,,
digital_leads,marketing,,"Stores leads specifically generated from digital sources (website, online ads) with relevant tracking data.",,digital_leads_visitor_session_id_fkey: visitor_session_id → visitor_sessions.id,digital_leads_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (lead_source IS NOT NULL), CHECK (lead_type IS NOT NULL), CHECK (updated_at IS NOT NULL), FOREIGN KEY (visitor_session_id) REFERENCES visitor_sessions(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (lead_source), NOT NULL (lead_type), NOT NULL (updated_at)",,,,,,,,
document_ai_models,communications,artificial intelligence,future dev. ,no,null,document_ai_models_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (name), NOT NULL (updated_at)",,,,,,,,
document_components,modern form system,documents,"Stores individual components within documents, such as line items, photo galleries, and signature blocks.",,document_components_document_id_fkey: document_id → documents.id,"document_components_pkey, idx_doc_components_document","CHECK (component_type IS NOT NULL), CHECK (config IS NOT NULL), CHECK (display_order IS NOT NULL), CHECK (id IS NOT NULL), FOREIGN KEY (document_id) REFERENCES documents(id), PRIMARY KEY (id), NOT NULL (component_type), NOT NULL (config), NOT NULL (display_order)",,,,,,,,
document_templates,modern form system,documents,"Stores templates for documents like estimates, inspections, and reports, allowing users to create consistent documents quickly.",,"document_templates_created_by_fkey: created_by → users.id
document_templates_department_id_fkey: department_id → departments.id
document_templates_organization_id_fkey: organization_id → organizations.id","idx_doc_templates_type, document_templates_pkey, idx_doc_templates_org","CHECK (document_type IS NOT NULL), CHECK (id IS NOT NULL), CHECK (layout IS NOT NULL), CHECK (name IS NOT NULL), FOREIGN KEY (created_by) REFERENCES users(id), FOREIGN KEY (department_id) REFERENCES departments(id), FOREIGN KEY (organization_id) REFERENCES organizations(id), PRIMARY KEY (id), NOT NULL (document_type), NOT NULL (layout), NOT NULL (name)",,,,,,,,
document_types,identification,data,can save company docs for SOP and other items,yes,null,document_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
documents,modern form system,documents,"Stores actual document instances created from templates, including estimates, reports, and inspections.",,"documents_collection_id_fkey: collection_id → collections.id
documents_created_by_fkey: created_by → users.id
documents_document_template_id_fkey: document_template_id → document_templates.id
documents_opportunity_id_fkey: opportunity_id → opportunities.id","idx_documents_type, idx_documents_opportunity, idx_documents_collection, documents_pkey","CHECK (content IS NOT NULL), CHECK (document_type IS NOT NULL), CHECK (id IS NOT NULL), CHECK (layout IS NOT NULL), CHECK (name IS NOT NULL), CHECK (status IS NOT NULL), CHECK (version IS NOT NULL), FOREIGN KEY (collection_id) REFERENCES collections(id), FOREIGN KEY (created_by) REFERENCES users(id), FOREIGN KEY (document_template_id) REFERENCES document_templates(id), FOREIGN KEY (opportunity_id) REFERENCES opportunities(id), PRIMARY KEY (id), NOT NULL (content), NOT NULL (document_type), NOT NULL (layout), NOT NULL (name)",,,,,,,,
drive_access_levels,view access,permissions,"access to the drives not needs at the lower level, just buckets and touchpoints or in some cases you can just assign a bucket to a rep and they work a stream of touchpoints.",yes,null,drive_access_levels_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
drive_achievements,tracking,"we set achievements based on sales goals, performance analytics and things like that",log the amount of drives completed from start to finish - for example - lead load to appointment set,yes,null,drive_achievements_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
drive_departments,joining table,,"Maps sales drives to specific departments, controlling which departments have access to which drives.",,null,drive_departments_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
drive_geography_mapping,geo spacial,workflows,best suited for multi location customers - you can filter your drives by your created zones,no - release with salesBlanket v1.0,null,drive_geography_mapping_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
drive_stops,joining table,,"Organizes buckets/stops within drives, creating the structure for the sales process flow.",,null,drive_buckets_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
drive_types,identification,workflows,"name your main workflow stages - door knocking, appointments, closing",yes,null,drive_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
engagement_access_conflict,view access,permissions,fallback - permission error,yes,null,entity_engagement_access_conflict_pkey,"CHECK (id IS NOT NULL), CHECK (policy_name IS NOT NULL), PRIMARY KEY (id), NOT NULL (policy_name)",,,,,,,,
engagement_access_default_rules,permissions,,,,null,entity_engagement_access_default_rules_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
engagement_access_history,tracking,logs user engagement with entities and documentation,logs,yes,null,entity_engagement_access_history_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
engagement_group_assignments,assignments,granule - external,can be used for independant contractors outside of your business,yes,"engagement_group_assignments_engagement_role_id_fkey: engagement_role_id → engagement_roles.id
engagement_group_assignments_group_id_fkey: group_id → engagement_groups.id",engagement_group_assignments_pkey,"CHECK (assigned_by IS NOT NULL), CHECK (entity_id IS NOT NULL), CHECK (entity_type_id IS NOT NULL), CHECK (id IS NOT NULL), FOREIGN KEY (engagement_role_id) REFERENCES engagement_roles(id), FOREIGN KEY (group_id) REFERENCES engagement_groups(id), PRIMARY KEY (id), NOT NULL (assigned_by), NOT NULL (entity_id), NOT NULL (entity_type_id), NOT NULL (id)",,,,,,,,
engagement_group_members,assignments,assign multiple members,can be used for independant contractors outside of your business,yes,engagement_group_members_group_id_fkey: group_id → engagement_groups.id,engagement_group_members_pkey,"CHECK (id IS NOT NULL), CHECK (user_id IS NOT NULL), FOREIGN KEY (group_id) REFERENCES engagement_groups(id), PRIMARY KEY (id), NOT NULL (id), NOT NULL (user_id)",,,,,,,,
engagement_groups,assignments,organize by group -or- trade -or- whatever you choose,can be used for independant contractors outside of your business,yes,null,engagement_groups_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (id), NOT NULL (name)",,,,,,,,
engagement_role_permissions,permissions,,,,null,entity_engagement_role_permissions_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
engagement_role_types,identification,assignments,secondary role assignments to grant priviledges in one off instances,yes,null,entity_engagement_role_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
engagement_roles,hierarchy,granule team or external based data access with brute force,"give customers certain access, or marketers, referrals",no,null,entity_engagement_roles_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
engagements,parental entity,special access to entities,can be assigned to marketers,yes,null,"idx_engagements_status, entity_engagements_pkey","CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
entities,parental entity,,,,entities_entity_type_id_fkey: entity_type_id → entity_types.id,entities_pkey,"CHECK (entity_type_id IS NOT NULL), CHECK (id IS NOT NULL), FOREIGN KEY (entity_type_id) REFERENCES entity_types(id), PRIMARY KEY (id), NOT NULL (entity_type_id)",,,,,,,,
entity_achievement_types,identification,write your achievements that you want to track,system outlines what types can be used,yes,null,entity_achievement_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
entity_achievements,tracking,achievements,,,null,entity_achievements_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
entity_card_layout,containers,maps entity types to card types with display rules,offers easy custom adaptation to custom requests,yes,entity_card_layout_entity_type_id_fkey: entity_type_id → entity_types.id,entity_card_layout_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (entity_type_id) REFERENCES entity_types(id), PRIMARY KEY (id)",,,,,,,,
entity_cards,containers,defines card styles and rendering templates,custom orders,yes,null,entity_cards_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
entity_event_approvals,tracking,approvals,,,null,entity_event_approvals_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
entity_event_types,identification,track events ,system outlines what events / transactions can be tracked,yes,null,entity_event_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
entity_events,tracking,events,,,"entity_events_entity_id_fkey: entity_id → entities.id
entity_events_entity_type_id_fkey: entity_type_id → entity_types.id
entity_events_performed_by_fkey: performed_by → users.id",entity_events_pkey,"CHECK (entity_id IS NOT NULL), CHECK (entity_type_id IS NOT NULL), CHECK (id IS NOT NULL), FOREIGN KEY (entity_id) REFERENCES entities(id), FOREIGN KEY (entity_type_id) REFERENCES entity_types(id), FOREIGN KEY (performed_by) REFERENCES users(id), PRIMARY KEY (id), NOT NULL (entity_id), NOT NULL (entity_type_id)",,,,,,,,
entity_files,joining table,,"Stores files (documents, images, etc.) associated with any entity in the system using a polymorphic relationship.",,entity_files_created_by_fkey: created_by → users.id,"idx_entity_files_entity_type, idx_entity_files_drive_file_id, entity_files_pkey, idx_entity_files_entity_id, idx_entity_files_file_type","CHECK (created_at IS NOT NULL), CHECK (drive_file_id IS NOT NULL), CHECK (entity_id IS NOT NULL), CHECK (entity_type IS NOT NULL), CHECK (file_type IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), FOREIGN KEY (created_by) REFERENCES users(id), PRIMARY KEY (id), NOT NULL (drive_file_id), NOT NULL (entity_id), NOT NULL (entity_type), NOT NULL (file_type), NOT NULL (name)",,,,,,,,
entity_managers,hierarchy,where we assign users to entities - this renders the data view,roles are given certain permissions over entities - not a real reason for primamry.  when we develop the salesTracking we may add to this.,yes,"entity_managers_assigned_by_fkey: assigned_by → users.id
entity_managers_entity_id_fkey: entity_id → entities.id
entity_managers_user_id_fkey: user_id → users.id",entity_managers_pkey,"CHECK (entity_id IS NOT NULL), CHECK (id IS NOT NULL), CHECK (role_id IS NOT NULL), CHECK (user_id IS NOT NULL), FOREIGN KEY (assigned_by) REFERENCES users(id), FOREIGN KEY (entity_id) REFERENCES entities(id), FOREIGN KEY (user_id) REFERENCES users(id), PRIMARY KEY (id), NOT NULL (entity_id), NOT NULL (role_id), NOT NULL (user_id)",,,,,,,,
entity_matches,records,,,,entity_matches_digital_lead_id_fkey: digital_lead_id → digital_leads.id,entity_matches_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (matched_entity_id IS NOT NULL), CHECK (matched_entity_type IS NOT NULL), CHECK (updated_at IS NOT NULL), FOREIGN KEY (digital_lead_id) REFERENCES digital_leads(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (matched_entity_id), NOT NULL (matched_entity_type), NOT NULL (updated_at)",,digital lead capture matches record in database,,,,,,
entity_photos,joining table,shortcut to google drive - profile photos,"Specifically stores photos associated with entities, with metadata specific to images.",,null,entity_photos_pkey,"CHECK (id IS NOT NULL), CHECK (photo_url IS NOT NULL), PRIMARY KEY (id), NOT NULL (photo_url)",,,,,,,,
entity_touchpoints,joining table,,"Records customer interaction points (calls, emails, meetings) linked to any entity via polymorphic relationship.",,"entity_touchpoints_created_by_fkey: created_by → users.id
entity_touchpoints_entity_type_id_fkey: entity_type_id → entity_types.id
entity_touchpoints_touchpoint_code_id_fkey: touchpoint_code_id → touchpoint_types.id",entity_touchpoints_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (created_by) REFERENCES users(id), FOREIGN KEY (entity_type_id) REFERENCES entity_types(id), FOREIGN KEY (touchpoint_code_id) REFERENCES touchpoint_types(id), PRIMARY KEY (id)",,,,,,,,
entity_types,identification,structural records,"Defines the fundamental entity types in the system. This table is crucial as it categorizes all primary data objects that flow through the salesBlanket application (addresses, contacts, opportunities). These entities represent the core objects that forms will be created for.",,null,entity_types_pkey,"CHECK (display_name IS NOT NULL), CHECK (id IS NOT NULL), PRIMARY KEY (id), NOT NULL (display_name)",,,,,,,,
entity_zones,geo location,territorial control of entities,included in the salesWarBoard ,no - relases in beta with salesBlanket v1.0 - all customers will get salesWarBoard for free grandfathered in if they sign up in beta and sign on as a customer for v1.0,null,entity_zones_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
estimate_components,components,estimate building blocks,"Stores individual components within estimates, supporting the drag-and-drop estimate builder functionality.",no,"estimate_components_created_by_fkey: created_by → users.id
estimate_components_department_id_fkey: department_id → departments.id
estimate_components_organization_id_fkey: organization_id → organizations.id",estimate_components_pkey,"CHECK (component_schema IS NOT NULL), CHECK (component_type IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), FOREIGN KEY (created_by) REFERENCES users(id), FOREIGN KEY (department_id) REFERENCES departments(id), FOREIGN KEY (organization_id) REFERENCES organizations(id), PRIMARY KEY (id), NOT NULL (component_schema), NOT NULL (component_type), NOT NULL (name)",,,,,,,,
estimate_types,identification,estimate/financial items - dynamic,"Categorizes different types of estimates that can be created in the system. This allows for specific templates and workflows based on the type of estimate being created, supporting salesBlanket's drag-and-drop estimate builder.",,null,estimate_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
estimates,interface,estimate/financial items - dynamic,"Estimates are a critical component of the salesBlanket application that serve as formal pricing proposals to customers. They combine product/service selections, pricing calculations, customer information, and visual elements (like photos and annotations) into a professional document that can be presented to customers for approval.",,null,estimates_pkey,"CHECK (collection_id IS NOT NULL), CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (entity_id IS NOT NULL), CHECK (entity_type IS NOT NULL), CHECK (estimate_type_id IS NOT NULL), CHECK (id IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (collection_id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (entity_id), NOT NULL (entity_type), NOT NULL (estimate_type_id), NOT NULL (id), NOT NULL (updated_at)",,,,,,,,
event_contact_roles,joining table,role assignments,"Associates contacts with specific events (opportunities, estimates) with defined roles for targeted notifications",yes,event_contact_roles_contact_id_fkey: contact_id → contacts.id,"idx_event_contact_roles_event, event_contact_roles_pkey, idx_event_contact_roles_contact","CHECK (event_id IS NOT NULL), CHECK (event_type IS NOT NULL), CHECK (id IS NOT NULL), CHECK (role_type IS NOT NULL), FOREIGN KEY (contact_id) REFERENCES contacts(id), PRIMARY KEY (id), NOT NULL (event_id), NOT NULL (event_type), NOT NULL (role_type)",,opportunity/estimate creation or manual assignment,,,notification rules check,cascade delete when parent event is deleted,,
external_partner_catalog,external access,integrate B2B pricing,coming 2nd beta release,no,external_partner_catalog_partner_id_fkey: partner_id → external_partners.id,"external_partner_catalog_partner_id_catalog_version_key, external_partner_catalog_pkey, idx_external_partner_catalog_status, idx_external_partner_catalog_partner","CHECK (catalog_version IS NOT NULL), CHECK (effective_date IS NOT NULL), CHECK (id IS NOT NULL), FOREIGN KEY (partner_id) REFERENCES external_partners(id), PRIMARY KEY (id), UNIQUE (catalog_version), UNIQUE (partner_id), NOT NULL (catalog_version), NOT NULL (effective_date), NOT NULL (id)",,,,,,,,
external_partners,external access,B2B wiring,coming 2nd beta release,no,external_partners_approved_by_fkey: approved_by → users.id,"external_partners_pkey, idx_external_partners_status, idx_external_partners_type","CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (partner_type IS NOT NULL), FOREIGN KEY (approved_by) REFERENCES users(id), PRIMARY KEY (id), NOT NULL (id), NOT NULL (name), NOT NULL (partner_type)",,,,,,,,
external_user_profiles,external access,setup for partners to sell - tracking purposes,coming 2nd beta release,no,"external_user_profiles_internal_sponsor_id_fkey: internal_sponsor_id → users.id
external_user_profiles_user_id_fkey: user_id → users.id",external_user_profiles_pkey,"CHECK (id IS NOT NULL), CHECK (user_id IS NOT NULL), FOREIGN KEY (internal_sponsor_id) REFERENCES users(id), FOREIGN KEY (user_id) REFERENCES users(id), PRIMARY KEY (id), NOT NULL (id), NOT NULL (user_id)",,,,,,,,
field_permissions,permissions,field-level,"Provides granular control over field-level permissions for viewing, editing, and API access",yes,field_permissions_role_id_fkey: role_id → roles.id,"field_permissions_pkey, idx_field_perm_unique","CHECK (column_name IS NOT NULL), CHECK (id IS NOT NULL), CHECK (permission_type IS NOT NULL), CHECK (table_name IS NOT NULL), FOREIGN KEY (role_id) REFERENCES roles(id), PRIMARY KEY (id), NOT NULL (column_name), NOT NULL (permission_type), NOT NULL (table_name)",,permission configuration,,,permission cache update,cascade delete when role is deleted,,
filter_fields,identification,filters,"Defines fields that can be used for filtering and sorting in the salesBlanket application. This supports customizable views and reports, allowing users to filter entities based on specific criteria.",,filter_fields_entity_type_id_fkey: entity_type_id → entity_types.id,filter_fields_pkey,"CHECK (display_name IS NOT NULL), CHECK (field_name IS NOT NULL), CHECK (field_type IS NOT NULL), CHECK (id IS NOT NULL), FOREIGN KEY (entity_type_id) REFERENCES entity_types(id), PRIMARY KEY (id), NOT NULL (display_name), NOT NULL (field_name), NOT NULL (field_type)",,,,,,,,
form_access_controls,permissions,form system,"Controls which roles and departments can access specific forms, providing granular permission management for your form system.",yes,"form_access_controls_department_id_fkey: department_id → departments.id
form_access_controls_permission_id_fkey: permission_id → permissions.id",form_access_controls_pkey,"CHECK (form_definition_id IS NOT NULL), CHECK (id IS NOT NULL), FOREIGN KEY (department_id) REFERENCES departments(id), FOREIGN KEY (permission_id) REFERENCES permissions(id), PRIMARY KEY (id), NOT NULL (form_definition_id)",,,,,,,,
form_categories,modern form system,forms,"Defines categories for forms like ""Insurance"" and ""Retail"" to help organize opportunity forms.",,form_categories_created_by_fkey: created_by → users.id,form_categories_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), FOREIGN KEY (created_by) REFERENCES users(id), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
form_component_usage,modern form system,forms,"Maps components to form definitions with ordering and custom configuration, allowing you to reuse components across multiple forms.",,form_component_usage_component_id_fkey: component_id → form_components.id,"idx_component_usage_form, form_component_usage_pkey","CHECK (display_order IS NOT NULL), CHECK (id IS NOT NULL), FOREIGN KEY (component_id) REFERENCES form_components(id), PRIMARY KEY (id), NOT NULL (display_order)",,,,,,,,
form_components,modern form system,forms,"Defines reusable components for forms, like text fields, photo galleries, document uploads, etc.",,"form_components_created_by_fkey: created_by → users.id
form_components_organization_id_fkey: organization_id → organizations.id","form_components_pkey, idx_form_components_type, idx_form_components_org","CHECK (component_type IS NOT NULL), CHECK (default_config IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), FOREIGN KEY (created_by) REFERENCES users(id), FOREIGN KEY (organization_id) REFERENCES organizations(id), PRIMARY KEY (id), NOT NULL (component_type), NOT NULL (default_config), NOT NULL (name)",,,,,,,,
